Inhibitor	ID	TGFB_0h	TGFB_4h	TGFB_8h	TGFB_12h	TGFB_16h	TGFB_20h	TGFB_24h	TGFB_28h	TGFB_32h	TGFB_36h	TGFB_40h	TGFB_44h	TGFB_48h	TGFB_Log0h	TGFB_Log4h	TGFB_Log8h	TGFB_Log12h	TGFB_Log16h	TGFB_Log20h	TGFB_Log24h	TGFB_Log28h	TGFB_Log32h	TGFB_Log36h	TGFB_Log40h	TGFB_Log44h	TGFB_Log48h	TGFB_AUC4h	TGFB_AUC8h	TGFB_AUC12h	TGFB_AUC16h	TGFB_AUC20h	TGFB_AUC24h	TGFB_AUC28h	TGFB_AUC32h	TGFB_AUC36h	TGFB_AUC40h	TGFB_AUC44h	TGFB_AUC48h	TGFB_TotalAUC	siTGFB_0h	siTGFB_4h	siTGFB_8h	siTGFB_12h	siTGFB_16h	siTGFB_20h	siTGFB_24h	siTGFB_28h	siTGFB_32h	siTGFB_36h	siTGFB_40h	siTGFB_44h	siTGFB_48h	siTGFB_Log0h	siTGFB_Log4h	siTGFB_Log8h	siTGFB_Log12h	siTGFB_Log16h	siTGFB_Log20h	siTGFB_Log24h	siTGFB_Log28h	siTGFB_Log32h	siTGFB_Log36h	siTGFB_Log40h	siTGFB_Log44h	siTGFB_Log48h	siTGFB_AUC4h	siTGFB_AUC8h	siTGFB_AUC12h	siTGFB_AUC16h	siTGFB_AUC20h	siTGFB_AUC24h	siTGFB_AUC28h	siTGFB_AUC32h	siTGFB_AUC36h	siTGFB_AUC40h	siTGFB_AUC44h	siTGFB_AUC48h	siTGFB_TotalAUC
CC-292 (AVL-292)	TE03	1.100096257	1.096147805	1.054388263	1.025475232	1.013806054	1.007831648	0.992075802	0.990642934	0.939855737	1.020333309	1.019891536	0.92476726	0.958523964	0.041430687	0.039869119	0.023000563	0.010925175	0.00595488	0.003387992	-0.003455143	-0.004082854	-0.026938803	0.008742065	0.008553988	-0.033967554	-0.018397025	0.162599611	0.125739363	0.067851477	0.033760112	0.018685745	-0.000134303	-0.015075994	-0.062043314	-0.036393477	0.034592104	-0.050827133	-0.104729158	0.174025032	0.829687774	0.809504181	0.839757949	0.867656717	0.990923458	1.105250036	1.110724411	1.103255372	1.101879124	1.100695287	1.0823483	1.070530701	1.018193419	-0.081085309	-0.091780904	-0.075845877	-0.061652067	-0.00395989	0.043460538	0.045606317	0.042676051	0.042133955	0.041667107	0.034367039	0.029599127	0.007830286	-0.345732427	-0.335253561	-0.274995887	-0.131223914	0.079001295	0.178133709	0.176564735	0.169620012	0.167602124	0.152068293	0.127932332	0.074858825	0.038575535
Baricitinib	TE04	0.979113468	0.954656386	0.960722937	0.953080354	0.966905714	1.005600397	0.998787147	1.040429102	0.939802611	0.91995216	0.928607856	0.929146557	0.789836152	-0.009166976	-0.020152918	-0.017401841	-0.020870483	-0.014615873	0.002425436	-0.000527055	0.017212491	-0.026963353	-0.036234757	-0.032167647	-0.031915778	-0.102462992	-0.058639787	-0.075109517	-0.076544646	-0.070972712	-0.024380874	0.003796762	0.033370873	-0.019501723	-0.126396219	-0.136804806	-0.128166849	-0.26875754	-0.948107037	0.829330216	0.796784504	0.760978412	0.780543317	0.881423533	0.991540066	1.005587916	1.027017984	1.0170966	0.979902719	0.952195932	0.92015669	0.865878641	-0.081272511	-0.098659121	-0.118627663	-0.10760299	-0.054815359	-0.003689732	0.002420046	0.011578049	0.007362203	-0.008817037	-0.021273678	-0.036138212	-0.062542973	-0.359863264	-0.434573568	-0.452461308	-0.324836698	-0.117010181	-0.002539373	0.027996189	0.037880502	-0.002909669	-0.060181431	-0.114823781	-0.19736237	-2.000684952
BMS-754807	TE05	0.968091287	0.955906812	0.915858451	0.956602003	0.946032638	0.948782061	0.926182518	0.925508208	0.866308772	0.890894513	0.938803074	0.934529051	0.929427532	-0.014083689	-0.019584444	-0.038171643	-0.019268714	-0.02409388	-0.022833535	-0.033303421	-0.033619725	-0.062327288	-0.050173716	-0.027425497	-0.029407193	-0.031784467	-0.067336264	-0.115512173	-0.114880714	-0.086725189	-0.093854831	-0.112273912	-0.133846292	-0.191894027	-0.225002008	-0.155198426	-0.113665381	-0.122383321	-1.532572536	0.831512659	0.80123326	0.797152657	0.865208165	0.95914277	0.977012506	0.967867351	0.954887647	0.952588124	0.950684596	0.935019295	0.917791985	0.873233165	-0.080131135	-0.096241031	-0.098458502	-0.062879391	-0.018116743	-0.010099877	-0.01418416	-0.020047725	-0.021094837	-0.021963543	-0.029179427	-0.037255739	-0.058869778	-0.352744331	-0.389399066	-0.322675786	-0.161992267	-0.056433239	-0.048568074	-0.06846377	-0.082285124	-0.08611676	-0.10228594	-0.132870332	-0.192251035	-1.996085725
AT9283	TE06	1.005535036	1.02149692	0.915528608	0.889916027	0.909532025	0.942784142	0.9597816	0.952211025	0.951696951	0.944010197	0.93138942	0.925338236	0.911329911	0.002397207	0.009237061	-0.038328081	-0.050650972	-0.041182005	-0.025587731	-0.01782758	-0.021266794	-0.021501322	-0.025023315	-0.0308687	-0.033699492	-0.040324375	0.023268538	-0.058182038	-0.177958104	-0.183665953	-0.133539471	-0.086830623	-0.078188749	-0.085536233	-0.093049273	-0.111784028	-0.129136383	-0.148047735	-1.262650053	0.740974343	0.76562223	0.784835131	0.841906759	0.88554231	0.906678533	0.92107151	0.912644863	0.916299403	0.915932917	0.903134345	0.891909678	0.888790394	-0.13019683	-0.115985465	-0.105221565	-0.074736004	-0.052790684	-0.042546667	-0.035706651	-0.039698186	-0.037962596	-0.038136333	-0.044247642	-0.049679124	-0.051200648	-0.49236459	-0.442414061	-0.359915138	-0.255053376	-0.190674701	-0.156506635	-0.150809674	-0.155321566	-0.152197859	-0.164767949	-0.187853531	-0.201759543	-2.909638622
R788 (Fostamatinib) Disodium	TE07	0.904267845	0.996774925	0.953892965	0.97569326	0.966396796	0.950185659	0.959232104	0.992135544	0.969827549	0.992427345	0.983551135	0.992850454	0.951114445	-0.043702912	-0.001402896	-0.020500354	-0.010686695	-0.014844519	-0.022191529	-0.018076295	-0.003428991	-0.013305483	-0.003301278	-0.007203056	-0.003116161	-0.021767222	-0.090211615	-0.0438065	-0.062374098	-0.051062427	-0.074072094	-0.080535646	-0.043010571	-0.033468949	-0.033213523	-0.021008668	-0.020638435	-0.049766767	-0.603169295	0.84433726	0.855886583	0.841314914	0.866936267	0.905691149	0.90505258	0.906838268	0.896985562	0.894356228	0.899743564	0.8954191	0.878611675	0.83259388	-0.073484045	-0.067583782	-0.075041412	-0.062012829	-0.043019876	-0.043326189	-0.042470161	-0.047214547	-0.048489464	-0.045881251	-0.047973646	-0.05620303	-0.079566786	-0.282135654	-0.285250388	-0.274108482	-0.21006541	-0.172692131	-0.171592701	-0.179369417	-0.191408023	-0.188741431	-0.187709794	-0.208353352	-0.271539632	-2.622966416
DCC-2036 (Rebastinib)	TE08	0.979582347	0.991228737	0.972825841	0.959805307	0.946173478	0.963914546	0.941124758	0.933742876	0.875580285	0.886405299	0.880051726	0.917392888	0.830650441	-0.00895905	-0.003826116	-0.011964902	-0.017816853	-0.02402923	-0.015961466	-0.026352802	-0.029772699	-0.057704026	-0.052367656	-0.055491801	-0.037444631	-0.0805817	-0.025570331	-0.031582035	-0.05956351	-0.083692166	-0.079981391	-0.084628535	-0.112251	-0.174953449	-0.220143364	-0.215718915	-0.185872864	-0.236052662	-1.510010222	0.863591536	0.854822094	0.83974912	0.856545066	0.859189826	0.881932316	0.88175139	0.872449075	0.867651382	0.86536059	0.851986873	0.829905035	0.788402163	-0.063691623	-0.068124261	-0.075850443	-0.067249782	-0.065910874	-0.054564744	-0.054653847	-0.059259913	-0.061654737	-0.062802887	-0.069567097	-0.080971601	-0.103252193	-0.263631769	-0.287949408	-0.28620045	-0.266321313	-0.240951236	-0.218437181	-0.227827521	-0.241829301	-0.248915249	-0.264739968	-0.301077394	-0.368447587	-3.216328376
AZD1152-HQPA	TE09	0.913993025	0.937783526	0.888051041	0.889058579	0.882902078	0.912069061	0.900224922	0.902494641	0.888302235	0.88247294	0.965283815	1.011315677	0.910671433	-0.039057119	-0.027897401	-0.051562072	-0.051069623	-0.054087461	-0.039972276	-0.045648968	-0.044555368	-0.051439245	-0.054298603	-0.015344976	0.00488674	-0.040638287	-0.133909039	-0.158918946	-0.20526339	-0.210314168	-0.188119474	-0.171242488	-0.180408673	-0.191989227	-0.211475696	-0.139287157	-0.020916472	-0.071503094	-1.883347825	0.872112689	0.867337344	0.866083538	0.86004874	0.871368226	0.879892835	0.884222142	0.872756402	0.873163377	0.871164159	0.853124361	0.833616193	0.808867308	-0.059427395	-0.061811954	-0.062440216	-0.065476936	-0.05979828	-0.055570219	-0.053438614	-0.059106957	-0.058904488	-0.0599	-0.068987657	-0.079033858	-0.092122717	-0.242478698	-0.248504341	-0.255834304	-0.250550433	-0.230736998	-0.218017666	-0.225091142	-0.23602289	-0.237608977	-0.257775314	-0.296043029	-0.34231315	-3.040976941
AZD4547	TE10	1.073554621	1.047787518	0.99964809	0.949613315	0.940760942	0.928583111	0.878414555	0.875497285	0.838088312	0.863539646	0.863963633	0.869803741	0.842401501	0.030824146	0.020273221	-0.000152859	-0.022453205	-0.026520722	-0.03217922	-0.056300477	-0.057745196	-0.076710216	-0.063717719	-0.063504538	-0.060578729	-0.074480868	0.102194732	0.040240722	-0.045212128	-0.097947852	-0.117399882	-0.176959393	-0.228091346	-0.268910825	-0.280855869	-0.254444513	-0.248166534	-0.270119194	-1.845672082	0.789212035	0.772911912	0.785428833	0.878577279	0.923907145	1.042843027	1.046513587	1.04447187	1.053093066	1.095748577	1.078970208	1.102514512	1.066349578	-0.102806301	-0.111869999	-0.10489316	-0.056220032	-0.034371674	0.018218942	0.019744871	0.018896748	0.022466753	0.039710915	0.033009453	0.042384315	0.027899601	-0.4293526	-0.433526318	-0.322226384	-0.181183413	-0.032305465	0.075927626	0.077283238	0.082727002	0.124355337	0.145440737	0.150787536	0.140567832	-0.601504873
ASP 3026	TE11	1.12221012	1.051081417	0.998219725	0.968265061	0.951922638	0.942875814	0.942293894	0.942097359	0.885404639	0.875495645	0.889243114	0.880699294	0.844053524	0.050074181	0.021636358	-0.000773853	-0.014005739	-0.021398345	-0.025545504	-0.025813623	-0.025904214	-0.052858207	-0.05774601	-0.050979489	-0.055172352	-0.073630013	0.143421077	0.04172501	-0.029559183	-0.070808168	-0.093887699	-0.102718255	-0.103435673	-0.157524841	-0.221208434	-0.217450998	-0.212303682	-0.257604729	-1.281355574	0.847511129	0.830963787	0.877388072	0.867452995	0.931580215	0.954485066	0.960799752	0.970309811	1.008594496	1.078551369	1.014603452	0.967082301	0.890199108	-0.07185459	-0.080417902	-0.056808274	-0.061754049	-0.030779744	-0.020230862	-0.017367118	-0.013089577	0.003716594	0.032840834	0.006296336	-0.014536565	-0.050512845	-0.304544985	-0.274452352	-0.237124647	-0.185067586	-0.102021212	-0.07519596	-0.06091339	-0.018745967	0.073114857	0.07827434	-0.016480459	-0.13009882	-1.25325618
SB-242235	TE12	0.988444642	0.967885609	0.929390603	0.785576097	0.792804136	0.920263427	0.90262858	0.936357902	0.896900008	0.878828154	0.927277657	0.939895095	0.833783547	-0.005047648	-0.014175967	-0.031801723	-0.104811739	-0.100834093	-0.036087837	-0.044490919	-0.02855812	-0.047255972	-0.056096039	-0.032790205	-0.026920617	-0.078946679	-0.038447232	-0.091955381	-0.273226925	-0.411291665	-0.27384386	-0.161157514	-0.146098079	-0.151628184	-0.206704021	-0.177772486	-0.119421643	-0.211734592	-2.263281581	0.659617769	0.638599765	0.642436969	0.663911472	0.692290605	0.725753988	0.798548277	0.882011767	0.92055556	0.985942047	0.97297086	0.950972286	0.914679771	-0.180707654	-0.194771246	-0.192169476	-0.177889827	-0.159711562	-0.139210569	-0.097698823	-0.054525621	-0.035949995	-0.006148612	-0.011900166	-0.021832139	-0.038730926	-0.750957799	-0.773881442	-0.740118605	-0.675202778	-0.597844262	-0.473818784	-0.304448888	-0.180951231	-0.084197213	-0.036097557	-0.067464612	-0.12112613	-4.806109301
TAK-659 (Hydrochloride)	TF01	1.119369929	1.101772902	0.982886182	0.92522032	1.015564439	1.167928148	1.044488116	1.032757475	0.918102181	0.8903745	0.819832379	0.778872824	0.726470664	0.048973636	0.042092087	-0.00749677	-0.033754838	0.006707485	0.067416125	0.018903503	0.013998347	-0.037108981	-0.050427287	-0.086274933	-0.108533449	-0.138781918	0.182131445	0.069190633	-0.082503216	-0.054094705	0.148247221	0.172639257	0.0658037	-0.046221268	-0.175072535	-0.27340444	-0.389616765	-0.494630735	-0.877531408	0.889014742	0.86903761	0.847056272	0.846650706	0.878460769	0.894050792	0.889558529	0.884318274	0.883761056	0.887907233	0.871984662	0.853046533	0.811683234	-0.051091037	-0.060961428	-0.072087737	-0.072295725	-0.056277629	-0.048637808	-0.050825472	-0.0533914	-0.05366514	-0.051632406	-0.059491154	-0.069027278	-0.090613425	-0.22410493	-0.266098331	-0.288766925	-0.257146708	-0.209830873	-0.19892656	-0.208433745	-0.214113081	-0.210595092	-0.222247121	-0.257036864	-0.319281405	-2.876581634
AZD-3463	TF02	1.105836317	1.035888096	0.928984633	0.880585506	0.891538102	0.92340366	0.967644344	0.975620183	0.945116216	0.87934408	0.877584347	0.851379739	0.806101007	0.043690849	0.015312842	-0.03199147	-0.055228467	-0.049860091	-0.034608408	-0.014284238	-0.010719224	-0.024514785	-0.055841156	-0.056711132	-0.069876689	-0.093610536	0.118007382	-0.033357255	-0.174439874	-0.210177117	-0.168937	-0.097785292	-0.050006923	-0.070468018	-0.160711882	-0.225104575	-0.253175642	-0.326974451	-1.653130648	1.006907895	0.976797859	0.933774019	0.917549759	0.918436574	0.920980676	0.922797841	0.922170387	0.92287288	0.920461259	0.901914903	0.882461111	0.851437742	0.002989746	-0.010195301	-0.029758214	-0.037370375	-0.03695083	-0.035749482	-0.03489343	-0.035188828	-0.034858116	-0.035994486	-0.044834437	-0.054304424	-0.069847103	-0.01441111	-0.07990703	-0.134257177	-0.148642409	-0.145400624	-0.141285825	-0.140164517	-0.140093889	-0.141705204	-0.161657845	-0.198277722	-0.248303054	-1.694106405
BGJ398 (NVP-BGJ398)	TF03	0.899683471	0.831144576	0.793128057	0.748157605	0.757283714	0.769121704	0.799320557	0.827952702	0.815475276	0.870143626	0.957362125	0.856307575	0.72278068	-0.045910258	-0.080323425	-0.100656687	-0.126006905	-0.120741383	-0.114004933	-0.097279018	-0.081994472	-0.088589202	-0.060409057	-0.018923758	-0.067370214	-0.140993465	-0.252467367	-0.361960223	-0.453327183	-0.493496576	-0.469492632	-0.422567901	-0.35854698	-0.341167348	-0.297996517	-0.15866563	-0.172587944	-0.416727358	-4.199003658	1.012869132	1.072456314	1.045959273	1.056959412	1.138049113	1.161771112	1.116298224	1.069881229	1.048434323	1.034105215	0.978428118	0.946845461	0.872292914	0.005553336	0.03037961	0.019514775	0.02405831	0.056161005	0.065120573	0.047780234	0.029335568	0.02054123	0.014564728	-0.009471075	-0.023720898	-0.059337655	0.071865893	0.09978877	0.08714617	0.16043863	0.242563156	0.225801614	0.154231603	0.099753596	0.070211917	0.010187306	-0.066383947	-0.166117108	0.989487601
IPI-145	TF04	1.037873287	0.947171501	0.751753647	0.710741423	0.75910294	0.741101626	0.726760638	0.724184953	0.68118646	0.677476803	0.702073253	0.684571154	0.68513444	0.016144334	-0.023571378	-0.123924456	-0.148288373	-0.119699327	-0.130122234	-0.138608603	-0.140150503	-0.166733993	-0.169105571	-0.153617572	-0.164581405	-0.164224201	-0.014854087	-0.294991668	-0.544425658	-0.535975398	-0.499643121	-0.537461673	-0.557518211	-0.613768993	-0.671679127	-0.645446285	-0.636397954	-0.657611212	-6.209773386	0.98457106	0.960970326	0.913396179	0.89914276	0.909099388	0.916220927	0.913811562	0.899425384	0.896009825	0.895563488	0.881086888	0.869074282	0.838342625	-0.006752934	-0.017290023	-0.03934081	-0.046171348	-0.041388635	-0.037999793	-0.039143351	-0.04603486	-0.047687228	-0.047903621	-0.054981262	-0.060943102	-0.076578452	-0.048085913	-0.113261665	-0.171024316	-0.175119966	-0.158776855	-0.154286289	-0.170356422	-0.187444176	-0.191181698	-0.205769765	-0.231848727	-0.275043107	-2.082198898
CH5183284 (Debio-1347)	TF05	0.853227537	0.847782851	0.763890084	0.786330578	0.738930184	0.772825004	0.858354813	0.952295344	0.88221773	0.870226217	0.822657824	0.799481581	0.766087111	-0.068935137	-0.071715373	-0.116969127	-0.104394836	-0.131396593	-0.111918835	-0.066333153	-0.021228339	-0.054424218	-0.060367837	-0.084780768	-0.097191537	-0.115721844	-0.281301018	-0.377369	-0.442727926	-0.471582857	-0.486630856	-0.356503977	-0.175122985	-0.151305115	-0.229584111	-0.290297209	-0.36394461	-0.425826763	-4.052196428	1.005259652	0.986284526	0.949947197	0.940378852	0.938279261	0.939725038	0.930477537	0.915062853	0.915513991	0.912768794	0.89723494	0.87773919	0.83425826	0.002278252	-0.005997781	-0.022300534	-0.026697146	-0.027667883	-0.026999202	-0.031294107	-0.038549074	-0.038335014	-0.039639216	-0.047093823	-0.05663451	-0.078699485	-0.007439058	-0.05659663	-0.097995361	-0.108730058	-0.109334169	-0.116586617	-0.139686363	-0.153768178	-0.155948461	-0.173466077	-0.207456666	-0.27066799	-1.597675628
Ro 31-8220 Mesylate	TF06	0.912049089	0.786694151	0.798657468	0.819127129	0.758987472	0.725592232	0.86225974	0.894227571	0.949631498	0.93823628	0.919537807	0.870664175	0.84301657	-0.039981786	-0.104194079	-0.097639443	-0.08664869	-0.119765393	-0.139307375	-0.064361891	-0.048551944	-0.022444889	-0.027687778	-0.03643041	-0.060149325	-0.074163889	-0.28835173	-0.403667044	-0.368576267	-0.412828166	-0.518145536	-0.407338533	-0.22582767	-0.141993666	-0.100265333	-0.128236375	-0.19315947	-0.268626428	-3.457016217	0.980302128	0.943793564	0.901124023	0.88993007	0.889251113	0.914433835	0.912467162	0.899875696	0.903196487	0.900488583	0.876206918	0.857484086	0.82639678	-0.008640055	-0.025122989	-0.045215432	-0.050644119	-0.050975583	-0.038847713	-0.039782756	-0.045817478	-0.04421776	-0.045521789	-0.057393322	-0.066773931	-0.082811384	-0.067526086	-0.140676842	-0.191719102	-0.203239402	-0.179646591	-0.157260938	-0.171200467	-0.180070476	-0.179479099	-0.205830223	-0.248334507	-0.29917063	-2.224154362
PF-06463922	TF07	1.124488133	0.999181186	0.761653899	0.785279872	0.885701869	0.998939789	0.994902249	1.016531843	0.935446988	0.892003693	0.881877462	0.880819653	0.854037479	0.050954877	-0.000355752	-0.11824233	-0.104975534	-0.052712439	-0.000460688	-0.002219587	0.007120988	-0.028980819	-0.049633348	-0.054591756	-0.055113004	-0.06852307	0.101198249	-0.237196165	-0.446435729	-0.315375946	-0.106346254	-0.005360551	0.0098028	-0.043719663	-0.157228333	-0.208450208	-0.219409521	-0.247272148	-1.875793468	1.064640578	1.024715414	0.976049356	0.968329774	0.968184252	0.969347446	0.961738875	0.943273298	0.938158254	0.934596744	0.918978347	0.90026627	0.879823925	0.027203015	0.010603269	-0.010528221	-0.013976714	-0.014041986	-0.01352053	-0.016942829	-0.025362459	-0.027723896	-0.029375736	-0.036694721	-0.045629021	-0.055604232	0.075612568	0.000150097	-0.04900987	-0.0560374	-0.055125031	-0.060926717	-0.084610576	-0.106172711	-0.114199265	-0.132140915	-0.164647485	-0.202466507	-0.949573812
TWS119	TF08	1.014974185	0.978070482	0.808108438	0.724365488	0.806627816	0.912921896	1.001814628	0.978605159	0.911915566	0.85273374	0.846977554	0.84990444	0.78988849	0.006454996	-0.009629848	-0.092530358	-0.14004225	-0.093326806	-0.039566376	0.000787369	-0.009392499	-0.040045371	-0.069186553	-0.072128099	-0.070629902	-0.102434215	-0.006349703	-0.204320413	-0.465145216	-0.466738111	-0.265786364	-0.077558015	-0.017210261	-0.09887574	-0.218463848	-0.282629304	-0.285516002	-0.346128233	-2.734721209	1.01934896	1.017863997	0.974937354	0.958678344	0.95433052	0.954329182	0.950742767	0.937447797	0.931036702	0.928319472	0.908524601	0.886027384	0.839317168	0.008322884	0.007689753	-0.01102329	-0.018327083	-0.020301187	-0.020301796	-0.02193697	-0.028052907	-0.031033199	-0.03230254	-0.041663308	-0.052552855	-0.076073893	0.032025275	-0.006667073	-0.058700745	-0.07725654	-0.081205966	-0.084477532	-0.099979754	-0.118172211	-0.126671477	-0.147931697	-0.188432328	-0.257253498	-1.214723545
Tivantinib (ARQ 197)	TF09	1.095828994	1.055720656	0.94166955	0.87588732	0.74204006	0.623459617	0.637866159	0.775587893	0.790792064	1.018061519	1.072643296	1.214349085	1.300514312	0.039742787	0.023549019	-0.026101473	-0.057551761	-0.129572648	-0.205191672	-0.195270438	-0.110368979	-0.101937698	0.007774022	0.030455323	0.08434355	0.114115136	0.126583612	-0.005104908	-0.167306467	-0.374248818	-0.669528639	-0.800924219	-0.611278834	-0.424613353	-0.188327351	0.07645869	0.229597745	0.396917372	-2.411775171	1.011342338	0.979917788	0.950178417	0.95835092	0.952516818	0.971686372	0.965891867	1.04475672	1.064745995	1.098472978	1.184466478	1.251812764	1.216396675	0.004898189	-0.008810359	-0.022194839	-0.018475436	-0.021127348	-0.012473888	-0.015071491	0.019015173	0.027246015	0.040789378	0.073522774	0.097539375	0.085075224	-0.00782434	-0.062010395	-0.081340549	-0.079205567	-0.067202472	-0.055090758	0.007887365	0.092522377	0.136070786	0.228624304	0.342124299	0.3652292	0.81978425
PKC-412 (Midostaurin)	TF10	1.213513543	1.106956243	1.039389451	0.981787252	1.006259359	1.128647316	1.130236987	1.13994413	1.039855278	1.028931718	1.045878359	1.05058133	0.896419692	0.084044627	0.044130454	0.016778305	-0.007982611	0.002709933	0.052558253	0.053169515	0.056883567	0.016972901	0.012386555	0.019481177	0.021429679	-0.047488612	0.256350163	0.121817517	0.017591387	-0.010545357	0.110536372	0.211455537	0.220106164	0.147712934	0.058718911	0.063735464	0.081821711	-0.052117866	1.227182937	0.995882795	1.00528264	1.010601586	1.163383151	1.199433309	1.233982466	1.248424228	1.268822557	1.134696866	1.10910245	1.012419611	0.837323695	0.721508756	-0.00179177	0.002288183	0.004579975	0.06572277	0.078976105	0.091308989	0.096362188	0.103400891	0.054879855	0.044971665	0.005360549	-0.077106619	-0.141758394	0.000992825	0.013736317	0.14060549	0.28939775	0.340570188	0.375342354	0.399526159	0.316561492	0.19970304	0.100664427	-0.143492139	-0.437730026	1.595877877
Rigosertib (ON-01910)	TF11	0.881409148	0.82877181	0.811693831	0.860808629	0.862776566	0.898716808	0.94918734	0.98755403	0.977692039	0.980263651	0.980632433	0.950766585	0.878647377	-0.054822446	-0.08156503	-0.090607755	-0.065093388	-0.064101659	-0.046377136	-0.022648063	-0.005439134	-0.009797921	-0.008657101	-0.008493747	-0.02192609	-0.056185383	-0.272774952	-0.344345568	-0.311402286	-0.258390095	-0.220957591	-0.138050398	-0.056174395	-0.030474111	-0.036910044	-0.034301697	-0.060839675	-0.156222946	-1.920843757	0.886056762	0.856421166	0.846525452	0.855361967	0.92486893	0.930011085	0.925203839	0.91052705	0.92127093	0.920070318	0.918176271	0.94050885	0.906357398	-0.052538456	-0.067312608	-0.07235998	-0.067850064	-0.03391981	-0.031511875	-0.033762574	-0.040707148	-0.035612632	-0.03617898	-0.037073935	-0.026637113	-0.042700516	-0.239702127	-0.279345175	-0.280420088	-0.203539748	-0.13086337	-0.130548898	-0.148939443	-0.15263956	-0.143583224	-0.14650583	-0.127422097	-0.138675259	-2.122184819
Vatalanib (PTK787) dihydrochloride	TF12	1.052416101	1.078624614	0.964079675	0.746366472	0.854756179	0.90301381	1.006878538	1.065818449	0.994558372	0.974162734	0.996063736	0.949958996	0.869022036	0.022187484	0.032870327	-0.015887073	-0.127047878	-0.068157751	-0.044305608	0.002977084	0.027683233	-0.002369722	-0.011368488	-0.001712871	-0.02229514	-0.060969211	0.110115621	0.033966507	-0.285869902	-0.390411258	-0.224926718	-0.082657048	0.061320635	0.050627022	-0.027476421	-0.026162718	-0.048016023	-0.166528702	-0.996019006	0.991028816	0.963062832	0.917046201	0.899513503	0.894488463	0.896242468	0.894753891	0.881622547	0.877305765	0.879063824	0.858891638	0.837141928	0.794896706	-0.003913717	-0.016345378	-0.037608784	-0.045992313	-0.048425257	-0.047574481	-0.048296404	-0.054717312	-0.056849017	-0.055979592	-0.066061625	-0.077200906	-0.099689303	-0.04051819	-0.107908323	-0.167202194	-0.188835139	-0.191999475	-0.191741771	-0.206027432	-0.223132657	-0.225657218	-0.244082435	-0.286525063	-0.353780417	-2.427410314
Pacritinib (SB1518)	TG01	1.264471217	1.220583109	0.85170125	0.791831197	0.949675493	0.995342282	1.021136428	1.077463177	1.001163252	0.984528591	0.916496548	0.866758153	0.866245735	0.101908948	0.086567356	-0.069712715	-0.101367392	-0.022424769	-0.002027547	0.009083769	0.032402437	0.0005049	-0.006771667	-0.037869166	-0.062102065	-0.062358891	0.376952607	0.033709281	-0.342160214	-0.247584322	-0.048904632	0.014112445	0.082972413	0.065814674	-0.012533534	-0.089281668	-0.199942462	-0.24892191	-0.615767321	0.850951423	0.828570844	0.810803156	0.806079428	0.824371312	0.837445541	0.85396175	0.843790082	0.862845915	0.87558037	0.86930054	0.864262821	0.822204493	-0.070095231	-0.081670353	-0.09108457	-0.093622162	-0.08387713	-0.077043425	-0.068561581	-0.073765584	-0.064066753	-0.057703984	-0.060830051	-0.063354169	-0.085020154	-0.303531168	-0.345509845	-0.369413464	-0.354998585	-0.321841111	-0.291210014	-0.28465433	-0.275664673	-0.243541473	-0.237068068	-0.248368439	-0.296748647	-3.572549816
Azd6738	TG02	0.980516989	0.967922893	0.874660061	0.75537938	0.793482437	0.936461833	0.947079628	0.966462385	0.869165766	0.810513305	0.80594925	0.772151249	0.728462036	-0.008544877	-0.014159238	-0.058160704	-0.121834875	-0.100462682	-0.028509918	-0.023613505	-0.014815044	-0.060897388	-0.091239852	-0.093692305	-0.112297622	-0.137593077	-0.045408231	-0.144639884	-0.359991157	-0.444595112	-0.2579452	-0.104246847	-0.076857099	-0.151424864	-0.304274478	-0.369864312	-0.411979852	-0.499781397	-3.171008432	1.074470545	1.040024323	0.994443904	0.973832882	0.965340032	0.966253391	0.959029006	0.943671783	0.939146674	0.942293489	0.921244617	0.896575725	0.851197574	0.031194514	0.017043496	-0.00241971	-0.011515565	-0.015319684	-0.014908969	-0.018168257	-0.025179031	-0.027266575	-0.02581381	-0.035625037	-0.047413024	-0.069969623	0.096476021	0.029247572	-0.027870551	-0.053670498	-0.060457305	-0.066154453	-0.086694576	-0.104891212	-0.10616077	-0.122877693	-0.166076121	-0.234765294	-0.903894879
LEE011	TG03	0.887564644	0.925747225	0.88895578	0.857589718	0.836448519	0.85643546	0.874805712	0.896935019	0.84515157	0.849039706	0.865334151	0.840263542	0.814674273	-0.051800006	-0.033507581	-0.051119842	-0.066720435	-0.077560783	-0.067305359	-0.05808839	-0.04723902	-0.073065397	-0.071071999	-0.062816156	-0.07558448	-0.089015998	-0.170615175	-0.169254846	-0.235680553	-0.288562436	-0.289732286	-0.250787499	-0.210654819	-0.240608834	-0.288274793	-0.267776311	-0.276801272	-0.329200956	-3.017949778	1.121022307	1.086156027	1.03967996	1.059093382	1.065241586	1.080932683	1.090969504	1.089482756	1.0872337	1.094604749	1.077037967	1.05252972	0.999834063	0.049614255	0.035892216	0.016899673	0.024934254	0.027448113	0.033798648	0.037812611	0.037220361	0.036322905	0.039257328	0.032231013	0.022234368	-7.21E-05	0.171012942	0.105583779	0.083667854	0.104764734	0.122493522	0.143222518	0.150065943	0.147086532	0.151160467	0.142976682	0.108930762	0.044324592	1.475290327
